ROOM_NAME,FLOOR,SURFACE,DIMENSIONS,HAUTEUR,CAPACITY_THEATRE,CAPACITY_RECEPTION,CAPACITY_BANQUET,CAPACITY_CLASSROOM,CAPACITY_BOARDROOM,CAPACITY_USHAPE,CAPACITY_HOLLOWSQUARE,CAPACITY_CRESCENT_ROUND,ROOM_RENTAL
LES VOUTES,0,2052,18 x 114,8,80,230,170,42,42,33,30,36,1000
ARCHAMBAULT,0,700,20 x 35,8,60,50,40,29,24,24,30,24,1000
LA RUELLE DES FORTIFICATIONS,0,7200,300 x 27,,400,800,330,0,0,0,0,0,1000
LA GALERIE DART,1,672,32 x 21,19,50,50,50,30,26,24,24,24,1000
CHEZ PLUME,1,1369,37 x 37,19,0,100,80,0,0,0,0,0,1000
S. BERNHARDT,2,2368,32 x 74,15,220,320,210,126,56,60,66,126,1000
STRATTON,2,520,20 x 26,"11,9",40,50,40,24,20,24,30,24,1000
SHERWOOD,2,740,20 x 37,"11,9",60,80,60,30,26,30,30,36,1000
RAVEL,3,1656,23 x 72,"11,3",150,180,130,82,50,48,54,54,1000
HEINTZMAN,3,378,21 x 18,"11,6",20,30,20,12,14,12,18,12,1000
BELFOUR,3,567,21 x 27,"11,6",50,60,50,18,20,24,30,24,1000
ALBANI,3,294,21 x 14,"11,6",0,0,0,0,8,0,0,0,1000
WILCOM,4,500,20 x 25,"11,3",40,50,30,18,20,24,30,24,1000
JOSEPH,4,475,19 x 25,"11,3",30,30,30,12,14,15,12,12,1000
DELAFOND,4,425,17 x 25,"11,3",40,40,40,18,20,21,22,24,1000
BELLATINI,4,378,21 x 18,"11,6",20,30,20,12,14,12,18,12,1000
FRASER,4,567,21 x 27,"11,6",50,60,50,18,20,24,30,24,1000
WATSON,4,294,21 x 14,"11,6",0,0,0,0,8,0,0,0,1000
NORDHEIMER,5,3365,66 x 54,17,325,350,260,180,46,54,66,144,1000
TERRASSE,6,1760,,,0,140,0,0,0,0,0,0,1000
